Suburb,Address,Rooms,Type,Price,Seller,Date,Distance,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Region
Albert Park,364 Montague St,2,h,1562500,Greg,2016-10-15,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Southern Metropolitan
Albert Park,86 Mills St,3,h,2000000,RT,2016-04-16,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Southern Metropolitan
Albert Park,97 Page St,3,h,3010000,Greg,2017-03-18,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Southern Metropolitan
Albert Park,55 Withers St,4,h,2800000,Cayzer,2016-06-18,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Southern Metropolitan
Albert Park,55 Merton St,3,h,2100000,Marshall,2016-04-23,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Southern Metropolitan
Albert Park,49 Page St,3,h,2000000,Marshall,2016-09-24,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Southern Metropolitan
Albert Park,115 Page St,4,h,4735000,Marshall,2017-02-25,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Southern Metropolitan
Albert Park,27 Barrett St,4,h,2140000,Greg,2016-06-27,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Southern Metropolitan
Albert Park,6 Brooke St,2,h,980000,Greg,2016-05-28,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Southern Metropolitan
Albert Park,17 Reed St,3,h,1740000,Marshall,2016-08-28,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Southern Metropolitan
Albert Park,9 Durham St,1,h,985000,Marshall,2016-07-30,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Southern Metropolitan
Alphington,6 Smith St,4,h,2000000,Brace,2016-09-03,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Northern Metropolitan
Alphington,44 Shiers St,4,h,1717500,Collins,2016-10-08,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Northern Metropolitan
Alphington,83 Fulham Rd,5,h,2840000,Nelson,2016-06-12,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Northern Metropolitan
Alphington,10 Bennett St,4,h,1830000,Nelson,2016-11-19,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Northern Metropolitan
Alphington,38 Bennett St,4,h,2100000,Nelson,2016-11-19,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Northern Metropolitan
Alphington,2c Hamilton St,3,h,865000,hockingstuart,2016-05-22,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Northern Metropolitan
Alphington,11 Margaret Gr,4,h,1900000,McGrath,2016-11-27,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Northern Metropolitan
Alphington,42 Shiers St,4,h,1950000,Jellis,2016-07-30,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Northern Metropolitan
Altona,158 Queen St,3,h,520000,Greg,2016-09-03,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Western Metropolitan
Altona,59 Bracken Gr,5,h,1525000,Greg,2016-12-03,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Western Metropolitan
Altona,4 Blyth St,3,h,1120000,Barlow,2017-03-04,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Western Metropolitan
Altona,29 Rose St,4,h,1780000,Greg,2016-06-04,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Western Metropolitan
Altona,156 Maidstone St,3,h,660000,Greg,2016-05-07,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Western Metropolitan
Altona,173 Queen St,3,h,1335000,hockingstuart,2016-10-08,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Western Metropolitan
Altona,24 Wren St,4,h,845000,hockingstuart,2017-02-11,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Western Metropolitan
Altona,22 Fenfield St,3,h,678000,hockingstuart,2016-04-16,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Western Metropolitan
Altona,27 McIntyre Dr,3,h,840000,Greg,2017-03-18,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Western Metropolitan
Altona,104 Maidstone St,2,h,857000,hockingstuart,2016-11-27,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Western Metropolitan
Altona,2/60 David St,2,h,535600,Compton,2016-07-30,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Western Metropolitan
Altona North,45 Hearn St,5,h,1085000,FN,2016-09-03,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Western Metropolitan
Altona North,4 Knapp St,3,h,781000,Jas,2016-09-03,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Western Metropolitan
Altona North,33 Carthy St,3,h,683000,FN,2016-06-04,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Western Metropolitan
Altona North,1/5 Little St,3,h,720000,Greg,2016-08-06,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Western Metropolitan
Altona North,1/95 Mills St,3,h,588000,Williams,2016-05-07,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Western Metropolitan
Altona North,5 Binns St,3,h,710000,Village,2016-11-07,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Western Metropolitan
Altona North,25 Allan St,4,h,875000,Jas,2016-10-08,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Western Metropolitan
Altona North,2/36 May St,3,h,675000,hockingstuart,2016-05-14,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Western Metropolitan
Altona North,11 Beevers St,3,h,708000,Greg,2016-10-15,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Western Metropolitan
Altona North,21 Neal Ct,3,h,770000,hockingstuart,2016-11-19,11.1,3.0,1.0,3.0,602.0,603.0,0.0,Western Metropolitan
Altona North,252 Millers Rd,4,h,693000,Raine&Horne,2016-05-22,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Western Metropolitan
Altona North,1/156 Chambers Rd,3,h,620000,Hunter,2016-08-22,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Western Metropolitan
Altona North,2 Gadsden St,3,h,728500,Jas,2016-08-22,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Western Metropolitan
Altona North,24 Hansen St,3,h,931000,hockingstuart,2016-08-22,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Western Metropolitan
Altona North,6 Hill St,3,h,815000,hockingstuart,2017-02-25,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Western Metropolitan
Altona North,5 Cresser St,4,h,1200000,RT,2016-11-27,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Western Metropolitan
Armadale,7 Llaneast St,3,h,1939000,Jellis,2016-12-03,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Southern Metropolitan
Armadale,28 Cambridge St,3,h,1870000,Hodges,2017-03-04,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Southern Metropolitan
Armadale,12 Willis St,3,h,2050000,Marshall,2017-03-04,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Southern Metropolitan
Armadale,10 William St,1,h,1435000,Jellis,2016-10-08,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Southern Metropolitan
Armadale,40 New St,2,h,1210000,Marshall,2016-11-12,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,Southern Metropolitan
Armadale,35 Northcote Rd,4,h,2801000,Marshall,2016-11-12,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,Southern Metropolitan
Armadale,791 High St,3,h,1800000,RT,2016-10-15,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,Southern Metropolitan
Armadale,25 Llaneast St,4,h,2200000,Jellis,2016-10-15,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,Southern Metropolitan
Armadale,367 Dandenong Rd,6,h,5525000,Marshall,2016-09-17,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,Southern Metropolitan
Armadale,14 New St,3,h,1300000,Jellis,2016-06-18,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,Southern Metropolitan
Armadale,63 Denbigh Rd,3,h,1900000,Marshall,2016-05-22,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,Southern Metropolitan
Armadale,75 Sutherland Rd,3,h,1285000,Marshall,2017-02-25,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,Southern Metropolitan
Armadale,44 Denbigh Rd,4,h,3625000,Jellis,2016-11-27,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,Southern Metropolitan
Armadale,44 Hampden Rd,4,h,4200000,Kay,2016-11-27,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,Southern Metropolitan
Armadale,4 Mercer Rd,3,h,3512500,Marshall,2016-11-27,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,Southern Metropolitan
Ascot Vale,30 Rothwell St,3,h,940000,Nelson,2016-12-03,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,Western Metropolitan
Ascot Vale,7 Francis St,3,h,1380000,Nelson,2017-03-04,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,Western Metropolitan
Ascot Vale,44 The Parade,4,h,1850000,Brad,2017-03-04,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,Western Metropolitan
Ascot Vale,98 Epsom Rd,3,h,971000,Nelson,2016-06-04,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,Western Metropolitan
Ascot Vale,8 Geddes St,2,h,710000,Nelson,2016-06-04,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,Western Metropolitan
Ascot Vale,75 Maribyrnong Rd,6,h,2425000,Brad,2016-06-04,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,Western Metropolitan
Ascot Vale,119 Roseberry St,2,h,750000,Maddison,2016-06-04,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,Western Metropolitan
Ascot Vale,10 Fenton St,2,h,1053000,Nelson,2016-08-06,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,Western Metropolitan
Ascot Vale,10 McCully St,3,h,1377000,Nelson,2016-08-06,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,Western Metropolitan
Ascot Vale,120 Epsom Rd,3,h,970000,Brad,2016-05-07,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,Western Metropolitan
Ascot Vale,63 Kent St,2,h,751000,Nelson,2016-05-07,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,Western Metropolitan
Ascot Vale,4 The Parade,2,h,950000,Raine,2016-05-07,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,Western Metropolitan
Ascot Vale,41 Monash St,3,h,1230000,Nelson,2016-10-08,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,Western Metropolitan
Ascot Vale,51 Francis St,2,h,770000,Nelson,2016-09-10,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,Western Metropolitan
Ascot Vale,12 Mirams St,4,h,890000,Raine,2016-12-10,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,Western Metropolitan
Ascot Vale,78 The Parade,3,h,1440000,Nelson,2017-02-11,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,Western Metropolitan
Ascot Vale,26 Newsom St,3,h,1000000,Brad,2016-11-12,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,Western Metropolitan
Ascot Vale,8 Pentland St,3,h,1435000,Nelson,2016-11-12,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,Western Metropolitan
Ascot Vale,52 Monash St,3,h,1425000,Jellis,2016-08-13,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,Western Metropolitan
Ascot Vale,58 Fenton St,4,h,1340000,Nelson,2016-05-14,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,Western Metropolitan
Ascot Vale,70 Munro St,3,h,955000,Brad,2016-05-14,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,Western Metropolitan
Ascot Vale,125 Epsom Rd,4,h,1100000,Nelson,2016-10-15,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,Western Metropolitan
Ascot Vale,7 Angler Pde,4,h,1640000,Raine,2016-04-16,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,Western Metropolitan
Ascot Vale,26 Ayr St,6,h,1430000,Nelson,2016-04-16,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,Western Metropolitan
Ascot Vale,57 The Parade,3,h,940000,Nelson,2016-04-16,5.9,3.0,3.0,1.0,491.0,127.0,1950.0,Western Metropolitan
Ascot Vale,62 Mirams St,3,h,890000,Brad,2016-07-16,5.9,3.0,1.0,1.0,242.0,110.0,1920.0,Western Metropolitan
Ascot Vale,67 Hurtle St,3,h,1180000,Brad,2016-09-17,5.9,3.0,2.0,2.0,617.0,149.0,1930.0,Western Metropolitan
Ascot Vale,95 Walter St,4,h,1480000,Raine,2016-09-17,5.9,4.0,2.0,2.0,597.0,180.0,1939.0,Western Metropolitan
Ascot Vale,21A Geddes St,3,h,1037500,Alexkarbon,2016-11-19,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,Western Metropolitan
Ascot Vale,43 Bloomfield Rd,4,h,1430000,Nelson,2016-05-22,5.9,4.0,2.0,0.0,418.0,158.0,1900.0,Western Metropolitan
Ascot Vale,21 Middle St,3,h,1130000,Nelson,2016-04-23,5.9,3.0,2.0,1.0,272.0,157.0,1900.0,Western Metropolitan
Ascot Vale,78 Francis St,3,h,1135000,Brad,2016-09-24,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,Western Metropolitan
Ascot Vale,25 Geddes St,4,h,950000,Nelson,2016-09-24,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,Western Metropolitan
Ascot Vale,15 Mirams St,4,h,1345000,Jellis,2017-02-25,5.9,4.0,1.0,1.0,552.0,155.0,1920.0,Western Metropolitan
Ascot Vale,44 Walter St,3,h,1381500,Barry,2017-02-25,5.9,3.0,2.0,2.0,416.0,168.0,1900.0,Western Metropolitan
Ascot Vale,25 Dalgety Dr,3,h,940000,Jellis,2016-07-26,5.9,3.0,2.0,2.0,285.0,172.0,2011.0,Western Metropolitan
Ascot Vale,7 Dalgety Dr,3,h,995000,Nelson,2016-07-26,5.9,3.0,2.0,1.0,314.0,177.0,2010.0,Western Metropolitan
Ascot Vale,6 Waller Ct,3,h,786000,Brad,2016-07-26,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,Western Metropolitan
Ascot Vale,17 Ascot St,2,h,705000,Nelson,2016-06-27,5.9,2.0,1.0,3.0,252.0,108.0,1910.0,Western Metropolitan
Ascot Vale,73 Kent St,2,h,760000,Nelson,2016-06-27,5.9,2.0,1.0,1.0,124.0,77.0,1900.0,Western Metropolitan
Ascot Vale,1 Bloomfield Rd,3,h,1305000,Barry,2016-05-28,5.9,2.0,1.0,1.0,278.0,166.0,1900.0,Western Metropolitan
Ascot Vale,58 Bloomfield Rd,3,h,1215000,Stockdale,2016-08-28,5.9,3.0,1.0,1.0,452.0,175.0,1960.0,Western Metropolitan
Ascot Vale,5 Doncaster St,4,h,1705000,Jellis,2016-07-30,5.9,4.0,2.0,4.0,598.0,273.0,2012.0,Western Metropolitan
Ashburton,61 Dent St,4,h,2650000,Marshall,2016-09-03,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,Southern Metropolitan
Ashburton,69 Albion Rd,3,h,1670000,Jellis,2016-12-03,11.0,3.0,2.0,2.0,599.0,220.0,1930.0,Southern Metropolitan
Ashburton,3 Dunlop St,3,h,1555000,Jellis,2016-06-04,11.0,3.0,2.0,2.0,731.0,149.0,1935.0,Southern Metropolitan
Ashburton,16a Nicholas St,3,h,1100000,Marshall,2016-10-08,11.0,3.0,3.0,2.0,276.0,178.0,2004.0,Southern Metropolitan
Ashburton,5 Nicholas St,3,h,1337000,Buxton,2016-10-08,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,Southern Metropolitan
Ashburton,115 Ashburn Gr,8,h,2950000,hockingstuart,2016-09-10,11.0,9.0,7.0,4.0,1472.0,618.0,2009.0,Southern Metropolitan
Ashburton,1/1 Nairn St,3,h,1518000,Jellis,2016-09-10,11.0,3.0,2.0,2.0,516.0,145.0,1920.0,Southern Metropolitan
Ashburton,9 Gona Ct,3,h,1710000,hockingstuart,2016-12-10,11.0,3.0,1.0,2.0,806.0,101.0,1950.0,Southern Metropolitan
Ashburton,45 Yuile St,3,h,1655000,Jellis,2016-12-10,11.0,3.0,1.0,3.0,780.0,152.0,1940.0,Southern Metropolitan
Ashburton,47 Yuile St,4,h,1550000,Marshall,2016-11-12,11.0,4.0,2.0,2.0,780.0,180.0,1938.0,Southern Metropolitan
Ashburton,6a Glen Rd,3,h,1662000,Jellis,2016-05-14,11.0,3.0,2.0,2.0,351.0,228.0,2006.0,Southern Metropolitan
Ashburton,18 Glen Rd,3,h,1665000,Jellis,2016-10-15,11.0,3.0,2.0,3.0,702.0,145.0,1945.0,Southern Metropolitan
Ashburton,29A Yuile St,5,h,3510000,Jellis,2017-03-18,11.0,5.0,5.0,2.0,755.0,444.0,2015.0,Southern Metropolitan
Ashburton,15 Comas Gr,5,h,2752000,Jellis,2016-08-22,11.0,6.0,4.0,2.0,1075.0,390.0,2010.0,Southern Metropolitan
Ashburton,3 Mustang Ct,3,h,1500000,Jellis,2016-08-22,11.0,3.0,2.0,2.0,710.0,139.0,1945.0,Southern Metropolitan
Ashburton,63 Dent St,4,h,1800000,Jellis,2017-02-25,11.0,4.0,2.0,4.0,749.0,206.0,1950.0,Southern Metropolitan
Ashburton,4 Vears Rd,3,h,1830000,Jellis,2017-02-25,11.0,3.0,2.0,3.0,724.0,168.0,1940.0,Southern Metropolitan
Ashburton,14 Lucerne St,3,h,1415000,Buxton,2016-06-27,11.0,3.0,1.0,1.0,605.0,111.0,1950.0,Southern Metropolitan
Ashburton,5 Pitt St,2,h,1440000,Jellis,2016-06-27,11.0,2.0,1.0,1.0,687.0,104.0,1940.0,Southern Metropolitan
Ashburton,48 Nicholas St,5,h,1600000,Marshall,2016-11-27,11.0,5.0,3.0,4.0,700.0,266.0,1950.0,Southern Metropolitan
Ashburton,5 Taylor St,4,h,1860000,Jellis,2016-11-27,11.0,4.0,2.0,3.0,696.0,274.0,2000.0,Southern Metropolitan
Ashburton,33 Highgate Gr,4,h,1790000,hockingstuart,2016-05-28,11.0,4.0,2.0,2.0,514.0,240.0,1935.0,Southern Metropolitan
Ashburton,9 Pitt St,4,h,1950000,Tim,2016-05-28,11.0,4.0,2.0,2.0,844.0,278.0,1940.0,Southern Metropolitan
Ashburton,19 Poulter St,3,h,1650000,Marshall,2016-08-28,11.0,3.0,1.0,1.0,697.0,164.0,1947.0,Southern Metropolitan
Ashwood,1/53 Winbirra Pde,4,h,1200000,Purplebricks,2017-03-04,12.2,4.0,3.0,2.0,372.0,201.0,2016.0,Southern Metropolitan
Ashwood,18 Montrose St,2,h,1075000,Jellis,2016-06-04,12.2,2.0,1.0,2.0,695.0,114.0,1950.0,Southern Metropolitan
Ashwood,4 Scenic Dr,4,h,1500000,Fletchers,2016-08-06,12.2,2.0,2.0,2.0,621.0,203.0,2000.0,Southern Metropolitan
Ashwood,1/136 High Street Rd,3,h,761000,Fletchers,2016-11-07,12.2,3.0,2.0,4.0,400.0,94.0,1950.0,Southern Metropolitan
Ashwood,35 Douglas St,3,h,1365000,Fletchers,2016-09-10,12.2,3.0,1.0,1.0,792.0,792.0,1950.0,Southern Metropolitan
Ashwood,95 Huntingdale Rd,4,h,1100000,Tim,2016-12-10,12.2,3.0,2.0,2.0,803.0,152.0,1970.0,Southern Metropolitan
Ashwood,58 Ashwood Dr,3,h,1631000,Jellis,2016-10-15,12.2,3.0,2.0,3.0,782.0,215.0,1950.0,Southern Metropolitan
Ashwood,3 Harold St,4,h,1500000,Buxton,2016-10-15,12.2,4.0,2.0,1.0,593.0,255.0,1930.0,Southern Metropolitan
Ashwood,16 Scenic Dr,5,h,1529500,Buxton,2016-09-17,12.2,5.0,3.0,2.0,585.0,317.0,2000.0,Southern Metropolitan
Ashwood,17 Parkhill Dr,4,h,1240000,Tim,2016-11-19,12.2,4.0,2.0,2.0,766.0,192.0,1950.0,Southern Metropolitan
Ashwood,4 Teck St,2,h,1110000,Fletchers,2016-09-24,12.2,2.0,1.0,1.0,586.0,86.0,1950.0,Southern Metropolitan
Ashwood,14 Ashwood Dr,3,h,1305000,Jellis,2017-02-25,12.2,3.0,1.0,1.0,760.0,120.0,1960.0,Southern Metropolitan
Ashwood,1/2 Condah Ct,3,h,855000,Noel,2017-02-25,12.2,3.0,2.0,1.0,320.0,85.0,1958.0,Southern Metropolitan
